Category,Sample,method,R1_R2_reads_combined,sample_proportion,R1_R2_read_proportion
0363236773_S223_L001_R1_001.fastp.fastq.gz,363236773_R1,Fluorescent Quantification,8638,0.18839218,0.18839218
0363238251_S54_L001_R1_001.fastp.fastq.gz,363238251_R1,Fluorescent Quantification,8606,0.18769427,0.18769427
0363239067_S299_L001_R1_001.fastp.fastq.gz,363239067_R1,Fluorescent Quantification,8562,0.186734644,0.186734644
0363240084_S303_L001_R1_001.fastp.fastq.gz,363240084_R1,Fluorescent Quantification,8556,0.186603784,0.186603784
0363236775_S181_L001_R1_001.fastp.fastq.gz,363236775_R1,Fluorescent Quantification,8528,0.185993114,0.185993114
0363238222_S12_L001_R1_001.fastp.fastq.gz,363238222_R1,Fluorescent Quantification,8498,0.185338822,0.185338822
0363148450_S359_L001_R1_001.fastp.fastq.gz,363148450_R1,Fluorescent Quantification,8468,0.184684532,0.184684532
0363237590_S131_L001_R1_001.fastp.fastq.gz,363237590_R1,Fluorescent Quantification,8396,0.183114234,0.183114234
0363235668_S383_L001_R1_001.fastp.fastq.gz,363235668_R1,Fluorescent Quantification,8338,0.18184927,0.18184927
0363236781_S199_L001_R1_001.fastp.fastq.gz,363236781_R1,Fluorescent Quantification,8298,0.180976882,0.180976882
0363146937_S333_L001_R1_001.fastp.fastq.gz,363146937_R1,Fluorescent Quantification,8274,0.18045345,0.18045345
0363148378_S208_L001_R1_001.fastp.fastq.gz,363148378_R1,Fluorescent Quantification,8264,0.180235352,0.180235352
0363236823_S171_L001_R1_001.fastp.fastq.gz,363236823_R1,Fluorescent Quantification,8140,0.17753095,0.17753095
0363237887_S382_L001_R1_001.fastp.fastq.gz,363237887_R1,Fluorescent Quantification,8104,0.1767458,0.1767458
0363237871_S134_L001_R1_001.fastp.fastq.gz,363237871_R1,Fluorescent Quantification,8088,0.176396846,0.176396846
0363237215_S308_L001_R1_001.fastp.fastq.gz,363237215_R1,Fluorescent Quantification,8068,0.175960652,0.175960652
0363236789_S284_L001_R1_001.fastp.fastq.gz,363236789_R1,Fluorescent Quantification,8028,0.175088264,0.175088264
0363237563_S180_L001_R1_001.fastp.fastq.gz,363237563_R1,Fluorescent Quantification,8000,0.174477592,0.174477592
0363146971_S24_L001_R1_001.fastp.fastq.gz,363146971_R1,Fluorescent Quantification,7886,0.171991286,0.171991286
0363148415_S263_L001_R1_001.fastp.fastq.gz,363148415_R1,Fluorescent Quantification,7874,0.17172957,0.17172957
0363148449_S262_L001_R1_001.fastp.fastq.gz,363148449_R1,Fluorescent Quantification,7748,0.168981548,0.168981548
0363148424_S206_L001_R1_001.fastp.fastq.gz,363148424_R1,Fluorescent Quantification,7718,0.168327258,0.168327258
0363235674_S373_L001_R1_001.fastp.fastq.gz,363235674_R1,Fluorescent Quantification,7604,0.165840952,0.165840952
0363148390_S192_L001_R1_001.fastp.fastq.gz,363148390_R1,Fluorescent Quantification,7582,0.165361138,0.165361138
0363237604_S99_L001_R1_001.fastp.fastq.gz,363237604_R1,Fluorescent Quantification,7564,0.164968564,0.164968564
0363146994_S361_L001_R1_001.fastp.fastq.gz,363146994_R1,Fluorescent Quantification,7536,0.164357892,0.164357892
0363147001_S93_L001_R1_001.fastp.fastq.gz,363147001_R1,Fluorescent Quantification,7532,0.164270654,0.164270654
0363148411_S272_L001_R1_001.fastp.fastq.gz,363148411_R1,Fluorescent Quantification,7530,0.164227034,0.164227034
0363238277_S16_L001_R1_001.fastp.fastq.gz,363238277_R1,Fluorescent Quantification,7524,0.164096176,0.164096176
0363146860_S95_L001_R1_001.fastp.fastq.gz,363146860_R1,Fluorescent Quantification,7470,0.162918452,0.162918452
0363146847_S87_L001_R1_001.fastp.fastq.gz,363146847_R1,Fluorescent Quantification,7360,0.160519384,0.160519384
0363237598_S178_L001_R1_001.fastp.fastq.gz,363237598_R1,Fluorescent Quantification,7236,0.157814982,0.157814982
0363148373_S265_L001_R1_001.fastp.fastq.gz,363148373_R1,Fluorescent Quantification,7222,0.157509646,0.157509646
0363148448_S257_L001_R1_001.fastp.fastq.gz,363148448_R1,Fluorescent Quantification,7114,0.155154198,0.155154198
0363148391_S128_L001_R1_001.fastp.fastq.gz,363148391_R1,Fluorescent Quantification,7032,0.153365804,0.153365804
0363236865_S300_L001_R1_001.fastp.fastq.gz,363236865_R1,Fluorescent Quantification,7012,0.15292961,0.15292961
0363236792_S225_L001_R1_001.fastp.fastq.gz,363236792_R1,Fluorescent Quantification,6998,0.152624274,0.152624274
0363237566_S130_L001_R1_001.fastp.fastq.gz,363237566_R1,Fluorescent Quantification,6926,0.151053976,0.151053976
0363235685_S376_L001_R1_001.fastp.fastq.gz,363235685_R1,Fluorescent Quantification,6870,0.149832632,0.149832632
0363148408_S283_L001_R1_001.fastp.fastq.gz,363148408_R1,Fluorescent Quantification,6838,0.149134722,0.149134722
0363238283_S18_L001_R1_001.fastp.fastq.gz,363238283_R1,Fluorescent Quantification,6808,0.148480432,0.148480432
0363148435_S231_L001_R1_001.fastp.fastq.gz,363148435_R1,Fluorescent Quantification,6748,0.14717185,0.14717185
0363236854_S266_L001_R1_001.fastp.fastq.gz,363236854_R1,Fluorescent Quantification,6726,0.146692036,0.146692036
0363236814_S203_L001_R1_001.fastp.fastq.gz,363236814_R1,Fluorescent Quantification,6690,0.145906886,0.145906886
0363236842_S184_L001_R1_001.fastp.fastq.gz,363236842_R1,Fluorescent Quantification,6604,0.144031252,0.144031252
0363236774_S194_L001_R1_001.fastp.fastq.gz,363236774_R1,Fluorescent Quantification,6600,0.143944014,0.143944014
0363238211_S48_L001_R1_001.fastp.fastq.gz,363238211_R1,Fluorescent Quantification,6500,0.141763044,0.141763044
0363148407_S269_L001_R1_001.fastp.fastq.gz,363148407_R1,Fluorescent Quantification,6338,0.138229872,0.138229872
0363236813_S288_L001_R1_001.fastp.fastq.gz,363236813_R1,Fluorescent Quantification,6318,0.137793678,0.137793678
0363235660_S381_L001_R1_001.fastp.fastq.gz,363235660_R1,Fluorescent Quantification,6314,0.13770644,0.13770644
0363237599_S379_L001_R1_001.fastp.fastq.gz,363237599_R1,Fluorescent Quantification,6250,0.136310618,0.136310618
0363146942_S96_L001_R1_001.fastp.fastq.gz,363146942_R1,Fluorescent Quantification,6076,0.132515732,0.132515732
0363238291_S14_L001_R1_001.fastp.fastq.gz,363238291_R1,Fluorescent Quantification,6076,0.132515732,0.132515732
0363237591_S371_L001_R1_001.fastp.fastq.gz,363237591_R1,Fluorescent Quantification,6064,0.132254014,0.132254014
0363148401_S279_L001_R1_001.fastp.fastq.gz,363148401_R1,Fluorescent Quantification,6006,0.130989052,0.130989052
0363236864_S277_L001_R1_001.fastp.fastq.gz,363236864_R1,Fluorescent Quantification,5912,0.12893894,0.12893894
0363237629_S97_L001_R1_001.fastp.fastq.gz,363237629_R1,Fluorescent Quantification,5886,0.128371888,0.128371888
0363146944_S94_L001_R1_001.fastp.fastq.gz,363146944_R1,Fluorescent Quantification,5798,0.126452636,0.126452636
0363237839_S172_L001_R1_001.fastp.fastq.gz,363237839_R1,Fluorescent Quantification,5738,0.125144054,0.125144054
0363146996_S297_L001_R1_001.fastp.fastq.gz,363146996_R1,Fluorescent Quantification,5734,0.125056814,0.125056814
0363148418_S170_L001_R1_001.fastp.fastq.gz,363148418_R1,Fluorescent Quantification,5712,0.124577,0.124577
0363237568_S380_L001_R1_001.fastp.fastq.gz,363237568_R1,Fluorescent Quantification,5692,0.124140806,0.124140806
0363236806_S224_L001_R1_001.fastp.fastq.gz,363236806_R1,Fluorescent Quantification,5612,0.12239603,0.12239603
0363148366_S267_L001_R1_001.fastp.fastq.gz,363148366_R1,Fluorescent Quantification,5610,0.122352412,0.122352412
0363148362_S360_L001_R1_001.fastp.fastq.gz,363148362_R1,Fluorescent Quantification,5582,0.12174174,0.12174174
0363236830_S273_L001_R1_001.fastp.fastq.gz,363236830_R1,Fluorescent Quantification,5552,0.12108745,0.12108745
0363237611_S191_L001_R1_001.fastp.fastq.gz,363237611_R1,Fluorescent Quantification,5476,0.119429912,0.119429912
0363237582_S370_L001_R1_001.fastp.fastq.gz,363237582_R1,Fluorescent Quantification,5382,0.1173798,0.1173798
0363146950_S294_L001_R1_001.fastp.fastq.gz,363146950_R1,Fluorescent Quantification,5336,0.116376554,0.116376554
0363146883_S88_L001_R1_001.fastp.fastq.gz,363146883_R1,Fluorescent Quantification,5310,0.115809502,0.115809502
0363148405_S120_L001_R1_001.fastp.fastq.gz,363148405_R1,Fluorescent Quantification,5296,0.115504166,0.115504166
0363235697_S378_L001_R1_001.fastp.fastq.gz,363235697_R1,Fluorescent Quantification,5278,0.115111592,0.115111592
0363148419_S276_L001_R1_001.fastp.fastq.gz,363148419_R1,Fluorescent Quantification,5198,0.113366816,0.113366816
0363236817_S287_L001_R1_001.fastp.fastq.gz,363236817_R1,Fluorescent Quantification,5178,0.112930622,0.112930622
0363236838_S228_L001_R1_001.fastp.fastq.gz,363236838_R1,Fluorescent Quantification,5140,0.112101854,0.112101854
0363148432_S275_L001_R1_001.fastp.fastq.gz,363148432_R1,Fluorescent Quantification,4990,0.108830398,0.108830398
0363235671_S384_L001_R1_001.fastp.fastq.gz,363235671_R1,Fluorescent Quantification,4976,0.108525062,0.108525062
0363148396_S270_L001_R1_001.fastp.fastq.gz,363148396_R1,Fluorescent Quantification,4970,0.108394204,0.108394204
0363148403_S264_L001_R1_001.fastp.fastq.gz,363148403_R1,Fluorescent Quantification,4834,0.105428086,0.105428086
0363236780_S207_L001_R1_001.fastp.fastq.gz,363236780_R1,Fluorescent Quantification,4810,0.104904652,0.104904652
0363237597_S169_L001_R1_001.fastp.fastq.gz,363237597_R1,Fluorescent Quantification,4648,0.101371482,0.101371482
0363236822_S286_L001_R1_001.fastp.fastq.gz,363236822_R1,Fluorescent Quantification,4574,0.099757564,0.099757564
0363238219_S89_L001_R1_001.fastp.fastq.gz,363238219_R1,Fluorescent Quantification,4568,0.099626706,0.099626706
0363237337_S377_L001_R1_001.fastp.fastq.gz,363237337_R1,Fluorescent Quantification,4432,0.096660586,0.096660586
0363146978_S289_L001_R1_001.fastp.fastq.gz,363146978_R1,Fluorescent Quantification,4250,0.09269122,0.09269122
0363237240_S311_L001_R1_001.fastp.fastq.gz,363237240_R1,Fluorescent Quantification,4180,0.091164542,0.091164542
0363237608_S104_L001_R1_001.fastp.fastq.gz,363237608_R1,Fluorescent Quantification,4058,0.088503758,0.088503758
0363238253_S15_L001_R1_001.fastp.fastq.gz,363238253_R1,Fluorescent Quantification,4054,0.08841652,0.08841652
0363240093_S304_L001_R1_001.fastp.fastq.gz,363240093_R1,Fluorescent Quantification,3800,0.082876856,0.082876856
0363237338_S374_L001_R1_001.fastp.fastq.gz,363237338_R1,Fluorescent Quantification,3582,0.078122342,0.078122342
0363148410_S226_L001_R1_001.fastp.fastq.gz,363148410_R1,Fluorescent Quantification,3566,0.077773386,0.077773386
0363236788_S274_L001_R1_001.fastp.fastq.gz,363236788_R1,Fluorescent Quantification,3346,0.072975252,0.072975252
0363238221_S90_L001_R1_001.fastp.fastq.gz,363238221_R1,Fluorescent Quantification,3130,0.068264358,0.068264358
0363235689_S369_L001_R1_001.fastp.fastq.gz,363235689_R1,Fluorescent Quantification,3050,0.066519582,0.066519582
0363237622_S177_L001_R1_001.fastp.fastq.gz,363237622_R1,Fluorescent Quantification,3048,0.066475962,0.066475962
0363148421_S281_L001_R1_001.fastp.fastq.gz,363148421_R1,Fluorescent Quantification,3034,0.066170626,0.066170626
0363148375_S103_L001_R1_001.fastp.fastq.gz,363148375_R1,Fluorescent Quantification,2926,0.06381518,0.06381518
0363148443_S210_L001_R1_001.fastp.fastq.gz,363148443_R1,Fluorescent Quantification,2098,0.045756748,0.045756748
0363146936_S74_L001_R1_001.fastp.fastq.gz,363146936_R1,Fluorescent Quantification,1406,0.030664436,0.030664436
0363146696_S326_L001_R1_001.fastp.fastq.gz,363146696_R1,Fluorescent Quantification,1364,0.02974843,0.02974843
0363148367_S149_L001_R1_001.fastp.fastq.gz,363148367_R1,Fluorescent Quantification,1260,0.02748022,0.02748022
0363148381_S158_L001_R1_001.fastp.fastq.gz,363148381_R1,Fluorescent Quantification,934,0.020370258,0.020370258
0363148413_S150_L001_R1_001.fastp.fastq.gz,363148413_R1,Fluorescent Quantification,790,0.017229662,0.017229662
0363237620_S154_L001_R1_001.fastp.fastq.gz,363237620_R1,Fluorescent Quantification,786,0.017142424,0.017142424
0363146693_S323_L001_R1_001.fastp.fastq.gz,363146693_R1,Fluorescent Quantification,768,0.016749848,0.016749848
0363148426_S252_L001_R1_001.fastp.fastq.gz,363148426_R1,Fluorescent Quantification,760,0.016575372,0.016575372
0363148397_S175_L001_R1_001.fastp.fastq.gz,363148397_R1,Fluorescent Quantification,668,0.014568878,0.014568878
0363236862_S241_L001_R1_001.fastp.fastq.gz,363236862_R1,Fluorescent Quantification,560,0.012213432,0.012213432
0363237555_S153_L001_R1_001.fastp.fastq.gz,363237555_R1,Fluorescent Quantification,544,0.011864476,0.011864476
0363238259_S43_L001_R1_001.fastp.fastq.gz,363238259_R1,Fluorescent Quantification,318,0.006935484,0.006935484
0363237250_S312_L001_R1_001.fastp.fastq.gz,363237250_R1,Fluorescent Quantification,296,0.00645567,0.00645567
0363148429_S209_L001_R1_001.fastp.fastq.gz,363148429_R1,Fluorescent Quantification,264,0.00575776,0.00575776
0363146714_S324_L001_R1_001.fastp.fastq.gz,363146714_R1,Fluorescent Quantification,220,0.004798134,0.004798134
0363236825_S250_L001_R1_001.fastp.fastq.gz,363236825_R1,Fluorescent Quantification,196,0.004274702,0.004274702
0363148380_S249_L001_R1_001.fastp.fastq.gz,363148380_R1,Fluorescent Quantification,96,0.002093732,0.002093732
0363237630_S157_L001_R1_001.fastp.fastq.gz,363237630_R1,Fluorescent Quantification,52,0.001134104,0.001134104
0363148442_S251_L001_R1_001.fastp.fastq.gz,363148442_R1,Fluorescent Quantification,30,6.54E-04,6.54E-04
0363237586_S146_L001_R1_001.fastp.fastq.gz,363237586_R1,Fluorescent Quantification,12,2.62E-04,2.62E-04
0363238235_S41_L001_R1_001.fastp.fastq.gz,363238235_R1,Fluorescent Quantification,2,4.36E-05,4.36E-05
0363146967_S322_L001_R1_001.fastp.fastq.gz,363146967_R1,Fluorescent Quantification,0,0,0
0363236848_S145_L001_R1_001.fastp.fastq.gz,363236848_R1,Fluorescent Quantification,0,0,0
