Category,Sample,method,R1_R2_reads_combined,sample_proportion,R1_R2_read_proportion
0363236808_S187_L001_R1_001.fastp.fastq.gz,363236808_R1,Fluorescent Quantification,17482,0.381277158,0.381277158
0363148447_S107_L001_R1_001.fastp.fastq.gz,363148447_R1,Fluorescent Quantification,17450,0.380579248,0.380579248
0363148420_S221_L001_R1_001.fastp.fastq.gz,363148420_R1,Fluorescent Quantification,17378,0.37900895,0.37900895
0363148414_S114_L001_R1_001.fastp.fastq.gz,363148414_R1,Fluorescent Quantification,17322,0.377787606,0.377787606
0363148451_S261_L001_R1_001.fastp.fastq.gz,363148451_R1,Fluorescent Quantification,17288,0.377046076,0.377046076
0363237585_S165_L001_R1_001.fastp.fastq.gz,363237585_R1,Fluorescent Quantification,17280,0.3768716,0.3768716
0363192130_S4_L001_R1_001.fastp.fastq.gz,363192130_R1,Fluorescent Quantification,17214,0.37543216,0.37543216
0363237581_S156_L001_R1_001.fastp.fastq.gz,363237581_R1,Fluorescent Quantification,17026,0.371331936,0.371331936
0363238264_S51_L001_R1_001.fastp.fastq.gz,363238264_R1,Fluorescent Quantification,16996,0.370677644,0.370677644
0363238268_S63_L001_R1_001.fastp.fastq.gz,363238268_R1,Fluorescent Quantification,16976,0.37024145,0.37024145
0363148372_S220_L001_R1_001.fastp.fastq.gz,363148372_R1,Fluorescent Quantification,16960,0.369892496,0.369892496
0363238216_S3_L001_R1_001.fastp.fastq.gz,363238216_R1,Fluorescent Quantification,16928,0.369194586,0.369194586
0363237623_S363_L001_R1_001.fastp.fastq.gz,363237623_R1,Fluorescent Quantification,16860,0.367711526,0.367711526
0363147010_S330_L001_R1_001.fastp.fastq.gz,363147010_R1,Fluorescent Quantification,16814,0.36670828,0.36670828
0363236839_S109_L001_R1_001.fastp.fastq.gz,363236839_R1,Fluorescent Quantification,16718,0.364614548,0.364614548
0363237912_S117_L001_R1_001.fastp.fastq.gz,363237912_R1,Fluorescent Quantification,16636,0.362826154,0.362826154
0363238230_S2_L001_R1_001.fastp.fastq.gz,363238230_R1,Fluorescent Quantification,16582,0.36164843,0.36164843
0363236821_S204_L001_R1_001.fastp.fastq.gz,363236821_R1,Fluorescent Quantification,16524,0.360383466,0.360383466
0363238214_S46_L001_R1_001.fastp.fastq.gz,363238214_R1,Fluorescent Quantification,16310,0.355716192,0.355716192
0363236846_S164_L001_R1_001.fastp.fastq.gz,363236846_R1,Fluorescent Quantification,16176,0.352793692,0.352793692
0363237612_S129_L001_R1_001.fastp.fastq.gz,363237612_R1,Fluorescent Quantification,15984,0.34860623,0.34860623
