Category,Sample,method,total_reads,proportion
0363148429_S209_L001_R2_001.fastp.fastq.gz,363148429_R1,Fluorescent Quantification,132,0.00287888
0363148430_S122_L001_R1_001.fastp.fastq.gz,363148430_R1,Fluorescent Quantification,7607,0.165906381
0363148430_S122_L001_R2_001.fastp.fastq.gz,363148430_R1,Fluorescent Quantification,7607,0.165906381
0363148431_S355_L001_R1_001.fastp.fastq.gz,363148431_R1,Fluorescent Quantification,7877,0.171794999
0363148431_S355_L001_R2_001.fastp.fastq.gz,363148431_R1,Fluorescent Quantification,7877,0.171794999
0363148432_S275_L001_R1_001.fastp.fastq.gz,363148432_R1,Fluorescent Quantification,2495,0.054415199
0363148432_S275_L001_R2_001.fastp.fastq.gz,363148432_R1,Fluorescent Quantification,2495,0.054415199
0363148433_S357_L001_R1_001.fastp.fastq.gz,363148433_R1,Fluorescent Quantification,15385,0.33554222
0363148433_S357_L001_R2_001.fastp.fastq.gz,363148433_R1,Fluorescent Quantification,15385,0.33554222
0363148434_S211_L001_R1_001.fastp.fastq.gz,363148434_R1,Fluorescent Quantification,9530,0.207846432
0363148434_S211_L001_R2_001.fastp.fastq.gz,363148434_R1,Fluorescent Quantification,9530,0.207846432
0363148435_S231_L001_R1_001.fastp.fastq.gz,363148435_R1,Fluorescent Quantification,3374,0.073585925
0363148435_S231_L001_R2_001.fastp.fastq.gz,363148435_R1,Fluorescent Quantification,3374,0.073585925
0363148436_S235_L001_R1_001.fastp.fastq.gz,363148436_R1,Fluorescent Quantification,9201,0.200671041
0363148436_S235_L001_R2_001.fastp.fastq.gz,363148436_R1,Fluorescent Quantification,9201,0.200671041
0363148437_S366_L001_R1_001.fastp.fastq.gz,363148437_R1,Fluorescent Quantification,7490,0.163354646
0363148437_S366_L001_R2_001.fastp.fastq.gz,363148437_R1,Fluorescent Quantification,7490,0.163354646
0363148438_S237_L001_R1_001.fastp.fastq.gz,363148438_R1,Fluorescent Quantification,9613,0.209656637
0363148438_S237_L001_R2_001.fastp.fastq.gz,363148438_R1,Fluorescent Quantification,9613,0.209656637
0363148440_S195_L001_R1_001.fastp.fastq.gz,363148440_R1,Fluorescent Quantification,4341,0.094675904
0363148440_S195_L001_R2_001.fastp.fastq.gz,363148440_R1,Fluorescent Quantification,4341,0.094675904
0363148441_S121_L001_R1_001.fastp.fastq.gz,363148441_R1,Fluorescent Quantification,7574,0.16518666
0363148441_S121_L001_R2_001.fastp.fastq.gz,363148441_R1,Fluorescent Quantification,7574,0.16518666
0363148442_S251_L001_R1_001.fastp.fastq.gz,363148442_R1,Fluorescent Quantification,15,0.000327145
0363148442_S251_L001_R2_001.fastp.fastq.gz,363148442_R1,Fluorescent Quantification,15,0.000327145
0363148443_S210_L001_R1_001.fastp.fastq.gz,363148443_R1,Fluorescent Quantification,1049,0.022878374
0363148443_S210_L001_R2_001.fastp.fastq.gz,363148443_R1,Fluorescent Quantification,1049,0.022878374
0363148444_S218_L001_R1_001.fastp.fastq.gz,363148444_R1,Fluorescent Quantification,4899,0.106845716
0363148444_S218_L001_R2_001.fastp.fastq.gz,363148444_R1,Fluorescent Quantification,4899,0.106845716
0363148445_S112_L001_R1_001.fastp.fastq.gz,363148445_R1,Fluorescent Quantification,6899,0.150465114
0363148445_S112_L001_R2_001.fastp.fastq.gz,363148445_R1,Fluorescent Quantification,6899,0.150465114
0363148446_S344_L001_R1_001.fastp.fastq.gz,363148446_R1,Fluorescent Quantification,5081,0.110815081
0363148446_S344_L001_R2_001.fastp.fastq.gz,363148446_R1,Fluorescent Quantification,5081,0.110815081
0363148447_S107_L001_R1_001.fastp.fastq.gz,363148447_R1,Fluorescent Quantification,8725,0.190289624
0363148447_S107_L001_R2_001.fastp.fastq.gz,363148447_R1,Fluorescent Quantification,8725,0.190289624
0363148448_S257_L001_R1_001.fastp.fastq.gz,363148448_R1,Fluorescent Quantification,3557,0.077577099
0363148448_S257_L001_R2_001.fastp.fastq.gz,363148448_R1,Fluorescent Quantification,3557,0.077577099
0363148449_S262_L001_R1_001.fastp.fastq.gz,363148449_R1,Fluorescent Quantification,3874,0.084490774
0363148449_S262_L001_R2_001.fastp.fastq.gz,363148449_R1,Fluorescent Quantification,3874,0.084490774
0363148450_S359_L001_R1_001.fastp.fastq.gz,363148450_R1,Fluorescent Quantification,4234,0.092342266
0363148450_S359_L001_R2_001.fastp.fastq.gz,363148450_R1,Fluorescent Quantification,4234,0.092342266
0363148451_S261_L001_R1_001.fastp.fastq.gz,363148451_R1,Fluorescent Quantification,8644,0.188523038
0363148451_S261_L001_R2_001.fastp.fastq.gz,363148451_R1,Fluorescent Quantification,8644,0.188523038
0363148452_S238_L001_R1_001.fastp.fastq.gz,363148452_R1,Fluorescent Quantification,5191,0.113214148
0363148452_S238_L001_R2_001.fastp.fastq.gz,363148452_R1,Fluorescent Quantification,5191,0.113214148
0363148453_S110_L001_R1_001.fastp.fastq.gz,363148453_R1,Fluorescent Quantification,5888,0.128415508
0363148453_S110_L001_R2_001.fastp.fastq.gz,363148453_R1,Fluorescent Quantification,5888,0.128415508
0363148454_S271_L001_R1_001.fastp.fastq.gz,363148454_R1,Fluorescent Quantification,5497,0.119887916
0363148454_S271_L001_R2_001.fastp.fastq.gz,363148454_R1,Fluorescent Quantification,5497,0.119887916
0363192129_S65_L001_R1_001.fastp.fastq.gz,363192129_R1,Fluorescent Quantification,9382,0.204618596
0363192129_S65_L001_R2_001.fastp.fastq.gz,363192129_R1,Fluorescent Quantification,9382,0.204618596
0363192130_S4_L001_R1_001.fastp.fastq.gz,363192130_R1,Fluorescent Quantification,8607,0.18771608
0363192130_S4_L001_R2_001.fastp.fastq.gz,363192130_R1,Fluorescent Quantification,8607,0.18771608
0363192131_S59_L001_R1_001.fastp.fastq.gz,363192131_R1,Fluorescent Quantification,5401,0.117794184
0363192131_S59_L001_R2_001.fastp.fastq.gz,363192131_R1,Fluorescent Quantification,5401,0.117794184
0363192132_S66_L001_R1_001.fastp.fastq.gz,363192132_R1,Fluorescent Quantification,6637,0.144750972
0363192132_S66_L001_R2_001.fastp.fastq.gz,363192132_R1,Fluorescent Quantification,6637,0.144750972
0363192133_S71_L001_R1_001.fastp.fastq.gz,363192133_R1,Fluorescent Quantification,4476,0.097620213
0363192133_S71_L001_R2_001.fastp.fastq.gz,363192133_R1,Fluorescent Quantification,4476,0.097620213
0363235660_S381_L001_R1_001.fastp.fastq.gz,363235660_R1,Fluorescent Quantification,3157,0.06885322
0363235660_S381_L001_R2_001.fastp.fastq.gz,363235660_R1,Fluorescent Quantification,3157,0.06885322
0363235668_S383_L001_R1_001.fastp.fastq.gz,363235668_R1,Fluorescent Quantification,4169,0.090924635
0363235668_S383_L001_R2_001.fastp.fastq.gz,363235668_R1,Fluorescent Quantification,4169,0.090924635
0363235671_S384_L001_R1_001.fastp.fastq.gz,363235671_R1,Fluorescent Quantification,2488,0.054262531
0363235671_S384_L001_R2_001.fastp.fastq.gz,363235671_R1,Fluorescent Quantification,2488,0.054262531
0363235674_S373_L001_R1_001.fastp.fastq.gz,363235674_R1,Fluorescent Quantification,3802,0.082920476
0363235674_S373_L001_R2_001.fastp.fastq.gz,363235674_R1,Fluorescent Quantification,3802,0.082920476
0363235685_S376_L001_R1_001.fastp.fastq.gz,363235685_R1,Fluorescent Quantification,3435,0.074916316
0363235685_S376_L001_R2_001.fastp.fastq.gz,363235685_R1,Fluorescent Quantification,3435,0.074916316
0363235689_S369_L001_R1_001.fastp.fastq.gz,363235689_R1,Fluorescent Quantification,1525,0.033259791
0363235689_S369_L001_R2_001.fastp.fastq.gz,363235689_R1,Fluorescent Quantification,1525,0.033259791
0363235697_S378_L001_R1_001.fastp.fastq.gz,363235697_R1,Fluorescent Quantification,2639,0.057555796
0363235697_S378_L001_R2_001.fastp.fastq.gz,363235697_R1,Fluorescent Quantification,2639,0.057555796
0363236772_S198_L001_R1_001.fastp.fastq.gz,363236772_R1,Fluorescent Quantification,5260,0.114719017
0363236772_S198_L001_R2_001.fastp.fastq.gz,363236772_R1,Fluorescent Quantification,5260,0.114719017
0363236773_S223_L001_R1_001.fastp.fastq.gz,363236773_R1,Fluorescent Quantification,4319,0.09419609
0363236773_S223_L001_R2_001.fastp.fastq.gz,363236773_R1,Fluorescent Quantification,4319,0.09419609
0363236774_S194_L001_R1_001.fastp.fastq.gz,363236774_R1,Fluorescent Quantification,3300,0.071972007
0363236774_S194_L001_R2_001.fastp.fastq.gz,363236774_R1,Fluorescent Quantification,3300,0.071972007
0363236775_S181_L001_R1_001.fastp.fastq.gz,363236775_R1,Fluorescent Quantification,4264,0.092996557
0363236775_S181_L001_R2_001.fastp.fastq.gz,363236775_R1,Fluorescent Quantification,4264,0.092996557
0363236780_S207_L001_R1_001.fastp.fastq.gz,363236780_R1,Fluorescent Quantification,2405,0.052452326
0363236780_S207_L001_R2_001.fastp.fastq.gz,363236780_R1,Fluorescent Quantification,2405,0.052452326
0363236781_S199_L001_R1_001.fastp.fastq.gz,363236781_R1,Fluorescent Quantification,4149,0.090488441
0363236781_S199_L001_R2_001.fastp.fastq.gz,363236781_R1,Fluorescent Quantification,4149,0.090488441
0363236782_S152_L001_R1_001.fastp.fastq.gz,363236782_R1,Fluorescent Quantification,11322,0.246929412
0363236782_S152_L001_R2_001.fastp.fastq.gz,363236782_R1,Fluorescent Quantification,11322,0.246929412
0363236783_S219_L001_R1_001.fastp.fastq.gz,363236783_R1,Fluorescent Quantification,5770,0.125841963
0363236783_S219_L001_R2_001.fastp.fastq.gz,363236783_R1,Fluorescent Quantification,5770,0.125841963
0363236784_S135_L001_R1_001.fastp.fastq.gz,363236784_R1,Fluorescent Quantification,7135,0.155612203
0363236784_S135_L001_R2_001.fastp.fastq.gz,363236784_R1,Fluorescent Quantification,7135,0.155612203
0363236788_S274_L001_R1_001.fastp.fastq.gz,363236788_R1,Fluorescent Quantification,1673,0.036487626
0363236788_S274_L001_R2_001.fastp.fastq.gz,363236788_R1,Fluorescent Quantification,1673,0.036487626
0363236789_S284_L001_R1_001.fastp.fastq.gz,363236789_R1,Fluorescent Quantification,4014,0.087544132
0363236789_S284_L001_R2_001.fastp.fastq.gz,363236789_R1,Fluorescent Quantification,4014,0.087544132
0363236790_S285_L001_R1_001.fastp.fastq.gz,363236790_R1,Fluorescent Quantification,4720,0.102941779
0363236790_S285_L001_R2_001.fastp.fastq.gz,363236790_R1,Fluorescent Quantification,4720,0.102941779
0363236791_S168_L001_R1_001.fastp.fastq.gz,363236791_R1,Fluorescent Quantification,4453,0.09711859
0363236791_S168_L001_R2_001.fastp.fastq.gz,363236791_R1,Fluorescent Quantification,4453,0.09711859
0363236792_S225_L001_R1_001.fastp.fastq.gz,363236792_R1,Fluorescent Quantification,3499,0.076312137
0363236792_S225_L001_R2_001.fastp.fastq.gz,363236792_R1,Fluorescent Quantification,3499,0.076312137
0363236794_S214_L001_R1_001.fastp.fastq.gz,363236794_R1,Fluorescent Quantification,6207,0.135372802
0363236794_S214_L001_R2_001.fastp.fastq.gz,363236794_R1,Fluorescent Quantification,6207,0.135372802
0363236797_S256_L001_R1_001.fastp.fastq.gz,363236797_R1,Fluorescent Quantification,4886,0.106562189
0363236797_S256_L001_R2_001.fastp.fastq.gz,363236797_R1,Fluorescent Quantification,4886,0.106562189
0363236798_S111_L001_R1_001.fastp.fastq.gz,363236798_R1,Fluorescent Quantification,8924,0.194629754
0363236798_S111_L001_R2_001.fastp.fastq.gz,363236798_R1,Fluorescent Quantification,8924,0.194629754
0363236799_S230_L001_R1_001.fastp.fastq.gz,363236799_R1,Fluorescent Quantification,5445,0.118753811
0363236799_S230_L001_R2_001.fastp.fastq.gz,363236799_R1,Fluorescent Quantification,5445,0.118753811
0363236802_S132_L001_R1_001.fastp.fastq.gz,363236802_R1,Fluorescent Quantification,6334,0.138142634
0363236802_S132_L001_R2_001.fastp.fastq.gz,363236802_R1,Fluorescent Quantification,6334,0.138142634
0363236805_S358_L001_R1_001.fastp.fastq.gz,363236805_R1,Fluorescent Quantification,6669,0.145448883
0363236805_S358_L001_R2_001.fastp.fastq.gz,363236805_R1,Fluorescent Quantification,6669,0.145448883
0363236806_S224_L001_R1_001.fastp.fastq.gz,363236806_R1,Fluorescent Quantification,2806,0.061198015
0363236806_S224_L001_R2_001.fastp.fastq.gz,363236806_R1,Fluorescent Quantification,2806,0.061198015
0363236807_S342_L001_R1_001.fastp.fastq.gz,363236807_R1,Fluorescent Quantification,4680,0.102069391
0363236807_S342_L001_R2_001.fastp.fastq.gz,363236807_R1,Fluorescent Quantification,4680,0.102069391
0363236808_S187_L001_R1_001.fastp.fastq.gz,363236808_R1,Fluorescent Quantification,8741,0.190638579
0363236808_S187_L001_R2_001.fastp.fastq.gz,363236808_R1,Fluorescent Quantification,8741,0.190638579
0363236813_S288_L001_R1_001.fastp.fastq.gz,363236813_R1,Fluorescent Quantification,3159,0.068896839
0363236813_S288_L001_R2_001.fastp.fastq.gz,363236813_R1,Fluorescent Quantification,3159,0.068896839
0363236814_S203_L001_R1_001.fastp.fastq.gz,363236814_R1,Fluorescent Quantification,3345,0.072953443
0363236814_S203_L001_R2_001.fastp.fastq.gz,363236814_R1,Fluorescent Quantification,3345,0.072953443
0363236815_S179_L001_R1_001.fastp.fastq.gz,363236815_R1,Fluorescent Quantification,4848,0.105733421
0363236815_S179_L001_R2_001.fastp.fastq.gz,363236815_R1,Fluorescent Quantification,4848,0.105733421
0363236817_S287_L001_R1_001.fastp.fastq.gz,363236817_R1,Fluorescent Quantification,2589,0.056465311
0363236817_S287_L001_R2_001.fastp.fastq.gz,363236817_R1,Fluorescent Quantification,2589,0.056465311
0363236818_S356_L001_R1_001.fastp.fastq.gz,363236818_R1,Fluorescent Quantification,23568,0.514010987
0363236818_S356_L001_R2_001.fastp.fastq.gz,363236818_R1,Fluorescent Quantification,23568,0.514010987
0363236821_S204_L001_R1_001.fastp.fastq.gz,363236821_R1,Fluorescent Quantification,8262,0.180191733
0363236821_S204_L001_R2_001.fastp.fastq.gz,363236821_R1,Fluorescent Quantification,8262,0.180191733
0363236822_S286_L001_R1_001.fastp.fastq.gz,363236822_R1,Fluorescent Quantification,2287,0.049878782
0363236822_S286_L001_R2_001.fastp.fastq.gz,363236822_R1,Fluorescent Quantification,2287,0.049878782
0363236823_S171_L001_R1_001.fastp.fastq.gz,363236823_R1,Fluorescent Quantification,4070,0.088765475
0363236823_S171_L001_R2_001.fastp.fastq.gz,363236823_R1,Fluorescent Quantification,4070,0.088765475
0363236824_S116_L001_R1_001.fastp.fastq.gz,363236824_R1,Fluorescent Quantification,17517,0.382040498
0363236824_S116_L001_R2_001.fastp.fastq.gz,363236824_R1,Fluorescent Quantification,17517,0.382040498
0363236825_S250_L001_R1_001.fastp.fastq.gz,363236825_R1,Fluorescent Quantification,98,0.002137351
0363236825_S250_L001_R2_001.fastp.fastq.gz,363236825_R1,Fluorescent Quantification,98,0.002137351
0363236829_S215_L001_R1_001.fastp.fastq.gz,363236829_R1,Fluorescent Quantification,8849,0.192994027
0363236829_S215_L001_R2_001.fastp.fastq.gz,363236829_R1,Fluorescent Quantification,8849,0.192994027
0363236830_S273_L001_R1_001.fastp.fastq.gz,363236830_R1,Fluorescent Quantification,2776,0.060543725
0363236830_S273_L001_R2_001.fastp.fastq.gz,363236830_R1,Fluorescent Quantification,2776,0.060543725
0363236832_S365_L001_R1_001.fastp.fastq.gz,363236832_R1,Fluorescent Quantification,6329,0.138033585
0363236832_S365_L001_R2_001.fastp.fastq.gz,363236832_R1,Fluorescent Quantification,6329,0.138033585
0363236834_S133_L001_R1_001.fastp.fastq.gz,363236834_R1,Fluorescent Quantification,11562,0.25216374
0363236834_S133_L001_R2_001.fastp.fastq.gz,363236834_R1,Fluorescent Quantification,11562,0.25216374
0363236837_S216_L001_R1_001.fastp.fastq.gz,363236837_R1,Fluorescent Quantification,7391,0.161195486
0363236837_S216_L001_R2_001.fastp.fastq.gz,363236837_R1,Fluorescent Quantification,7391,0.161195486
0363236838_S228_L001_R1_001.fastp.fastq.gz,363236838_R1,Fluorescent Quantification,2570,0.056050927
0363236838_S228_L001_R2_001.fastp.fastq.gz,363236838_R1,Fluorescent Quantification,2570,0.056050927
0363236839_S109_L001_R1_001.fastp.fastq.gz,363236839_R1,Fluorescent Quantification,8359,0.182307274
0363236839_S109_L001_R2_001.fastp.fastq.gz,363236839_R1,Fluorescent Quantification,8359,0.182307274
0363236840_S102_L001_R1_001.fastp.fastq.gz,363236840_R1,Fluorescent Quantification,6273,0.136812242
0363236840_S102_L001_R2_001.fastp.fastq.gz,363236840_R1,Fluorescent Quantification,6273,0.136812242
0363236842_S184_L001_R1_001.fastp.fastq.gz,363236842_R1,Fluorescent Quantification,3302,0.072015626
0363236842_S184_L001_R2_001.fastp.fastq.gz,363236842_R1,Fluorescent Quantification,3302,0.072015626
0363236846_S164_L001_R1_001.fastp.fastq.gz,363236846_R1,Fluorescent Quantification,8088,0.176396846
0363236846_S164_L001_R2_001.fastp.fastq.gz,363236846_R1,Fluorescent Quantification,8088,0.176396846
0363236847_S123_L001_R1_001.fastp.fastq.gz,363236847_R1,Fluorescent Quantification,20533,0.44781855
0363236847_S123_L001_R2_001.fastp.fastq.gz,363236847_R1,Fluorescent Quantification,20533,0.44781855
0363236850_S282_L001_R1_001.fastp.fastq.gz,363236850_R1,Fluorescent Quantification,4408,0.096137153
0363236850_S282_L001_R2_001.fastp.fastq.gz,363236850_R1,Fluorescent Quantification,4408,0.096137153
0363236854_S266_L001_R1_001.fastp.fastq.gz,363236854_R1,Fluorescent Quantification,3363,0.073346018
0363236854_S266_L001_R2_001.fastp.fastq.gz,363236854_R1,Fluorescent Quantification,3363,0.073346018
0363236855_S148_L001_R1_001.fastp.fastq.gz,363236855_R1,Fluorescent Quantification,10665,0.23260044
0363236855_S148_L001_R2_001.fastp.fastq.gz,363236855_R1,Fluorescent Quantification,10665,0.23260044
0363236856_S368_L001_R1_001.fastp.fastq.gz,363236856_R1,Fluorescent Quantification,4766,0.103945026
0363236856_S368_L001_R2_001.fastp.fastq.gz,363236856_R1,Fluorescent Quantification,4766,0.103945026
0363236857_S163_L001_R1_001.fastp.fastq.gz,363236857_R1,Fluorescent Quantification,9159,0.199755033
0363236857_S163_L001_R2_001.fastp.fastq.gz,363236857_R1,Fluorescent Quantification,9159,0.199755033
0363236862_S241_L001_R1_001.fastp.fastq.gz,363236862_R1,Fluorescent Quantification,280,0.006106716
0363236862_S241_L001_R2_001.fastp.fastq.gz,363236862_R1,Fluorescent Quantification,280,0.006106716
0363236863_S162_L001_R1_001.fastp.fastq.gz,363236863_R1,Fluorescent Quantification,7548,0.164619608
0363236863_S162_L001_R2_001.fastp.fastq.gz,363236863_R1,Fluorescent Quantification,7548,0.164619608
0363236864_S277_L001_R1_001.fastp.fastq.gz,363236864_R1,Fluorescent Quantification,2956,0.06446947
0363236864_S277_L001_R2_001.fastp.fastq.gz,363236864_R1,Fluorescent Quantification,2956,0.06446947
0363236865_S300_L001_R1_001.fastp.fastq.gz,363236865_R1,Fluorescent Quantification,3506,0.076464805
0363236865_S300_L001_R2_001.fastp.fastq.gz,363236865_R1,Fluorescent Quantification,3506,0.076464805
0363237168_S316_L001_R1_001.fastp.fastq.gz,363237168_R1,Fluorescent Quantification,9642,0.210289118
0363237168_S316_L001_R2_001.fastp.fastq.gz,363237168_R1,Fluorescent Quantification,9642,0.210289118
0363237185_S310_L001_R1_001.fastp.fastq.gz,363237185_R1,Fluorescent Quantification,7075,0.154303621
0363237185_S310_L001_R2_001.fastp.fastq.gz,363237185_R1,Fluorescent Quantification,7075,0.154303621
0363237198_S320_L001_R1_001.fastp.fastq.gz,363237198_R1,Fluorescent Quantification,6490,0.141544947
0363237198_S320_L001_R2_001.fastp.fastq.gz,363237198_R1,Fluorescent Quantification,6490,0.141544947
0363237215_S308_L001_R1_001.fastp.fastq.gz,363237215_R1,Fluorescent Quantification,4034,0.087980326
0363237215_S308_L001_R2_001.fastp.fastq.gz,363237215_R1,Fluorescent Quantification,4034,0.087980326
0363237240_S311_L001_R1_001.fastp.fastq.gz,363237240_R1,Fluorescent Quantification,2090,0.045582271
0363237240_S311_L001_R2_001.fastp.fastq.gz,363237240_R1,Fluorescent Quantification,2090,0.045582271
0363237241_S315_L001_R1_001.fastp.fastq.gz,363237241_R1,Fluorescent Quantification,6945,0.15146836
0363237241_S315_L001_R2_001.fastp.fastq.gz,363237241_R1,Fluorescent Quantification,6945,0.15146836
0363237248_S309_L001_R1_001.fastp.fastq.gz,363237248_R1,Fluorescent Quantification,5105,0.111338514
0363237248_S309_L001_R2_001.fastp.fastq.gz,363237248_R1,Fluorescent Quantification,5105,0.111338514
0363237250_S312_L001_R1_001.fastp.fastq.gz,363237250_R1,Fluorescent Quantification,148,0.003227835
0363237250_S312_L001_R2_001.fastp.fastq.gz,363237250_R1,Fluorescent Quantification,148,0.003227835
0363237255_S375_L001_R1_001.fastp.fastq.gz,363237255_R1,Fluorescent Quantification,5842,0.127412262
0363237255_S375_L001_R2_001.fastp.fastq.gz,363237255_R1,Fluorescent Quantification,5842,0.127412262
0363237337_S377_L001_R1_001.fastp.fastq.gz,363237337_R1,Fluorescent Quantification,2216,0.048330293
0363237337_S377_L001_R2_001.fastp.fastq.gz,363237337_R1,Fluorescent Quantification,2216,0.048330293
0363237338_S374_L001_R1_001.fastp.fastq.gz,363237338_R1,Fluorescent Quantification,1791,0.039061171
0363237338_S374_L001_R2_001.fastp.fastq.gz,363237338_R1,Fluorescent Quantification,1791,0.039061171
0363237541_S159_L001_R1_001.fastp.fastq.gz,363237541_R1,Fluorescent Quantification,11527,0.251400401
0363237541_S159_L001_R2_001.fastp.fastq.gz,363237541_R1,Fluorescent Quantification,11527,0.251400401
0363237545_S189_L001_R1_001.fastp.fastq.gz,363237545_R1,Fluorescent Quantification,4873,0.106278663
0363237545_S189_L001_R2_001.fastp.fastq.gz,363237545_R1,Fluorescent Quantification,4873,0.106278663
0363237548_S105_L001_R1_001.fastp.fastq.gz,363237548_R1,Fluorescent Quantification,5554,0.121131068
0363237548_S105_L001_R2_001.fastp.fastq.gz,363237548_R1,Fluorescent Quantification,5554,0.121131068
0363237549_S126_L001_R1_001.fastp.fastq.gz,363237549_R1,Fluorescent Quantification,17356,0.378529136
0363237549_S126_L001_R2_001.fastp.fastq.gz,363237549_R1,Fluorescent Quantification,17356,0.378529136
0363237555_S153_L001_R1_001.fastp.fastq.gz,363237555_R1,Fluorescent Quantification,272,0.005932238
0363237555_S153_L001_R2_001.fastp.fastq.gz,363237555_R1,Fluorescent Quantification,272,0.005932238
0363237556_S183_L001_R1_001.fastp.fastq.gz,363237556_R1,Fluorescent Quantification,5663,0.123508326
0363237556_S183_L001_R2_001.fastp.fastq.gz,363237556_R1,Fluorescent Quantification,5663,0.123508326
0363237557_S125_L001_R1_001.fastp.fastq.gz,363237557_R1,Fluorescent Quantification,15524,0.338573768
0363237557_S125_L001_R2_001.fastp.fastq.gz,363237557_R1,Fluorescent Quantification,15524,0.338573768
0363237558_S127_L001_R1_001.fastp.fastq.gz,363237558_R1,Fluorescent Quantification,10247,0.223483986
0363237558_S127_L001_R2_001.fastp.fastq.gz,363237558_R1,Fluorescent Quantification,10247,0.223483986
0363237563_S180_L001_R1_001.fastp.fastq.gz,363237563_R1,Fluorescent Quantification,4000,0.087238796
0363237563_S180_L001_R2_001.fastp.fastq.gz,363237563_R1,Fluorescent Quantification,4000,0.087238796
0363237564_S118_L001_R1_001.fastp.fastq.gz,363237564_R1,Fluorescent Quantification,5748,0.12536215
0363237564_S118_L001_R2_001.fastp.fastq.gz,363237564_R1,Fluorescent Quantification,5748,0.12536215
0363237565_S124_L001_R1_001.fastp.fastq.gz,363237565_R1,Fluorescent Quantification,11926,0.260102471
0363237565_S124_L001_R2_001.fastp.fastq.gz,363237565_R1,Fluorescent Quantification,11926,0.260102471
0363237566_S130_L001_R1_001.fastp.fastq.gz,363237566_R1,Fluorescent Quantification,3463,0.075526988
0363237566_S130_L001_R2_001.fastp.fastq.gz,363237566_R1,Fluorescent Quantification,3463,0.075526988
0363237568_S380_L001_R1_001.fastp.fastq.gz,363237568_R1,Fluorescent Quantification,2846,0.062070403
0363237568_S380_L001_R2_001.fastp.fastq.gz,363237568_R1,Fluorescent Quantification,2846,0.062070403
0363237571_S160_L001_R1_001.fastp.fastq.gz,363237571_R1,Fluorescent Quantification,5464,0.119168196
0363237571_S160_L001_R2_001.fastp.fastq.gz,363237571_R1,Fluorescent Quantification,5464,0.119168196
0363237572_S176_L001_R1_001.fastp.fastq.gz,363237572_R1,Fluorescent Quantification,5385,0.117445229
0363237572_S176_L001_R2_001.fastp.fastq.gz,363237572_R1,Fluorescent Quantification,5385,0.117445229
0363237574_S161_L001_R1_001.fastp.fastq.gz,363237574_R1,Fluorescent Quantification,5676,0.123791852
0363237574_S161_L001_R2_001.fastp.fastq.gz,363237574_R1,Fluorescent Quantification,5676,0.123791852
0363237579_S174_L001_R1_001.fastp.fastq.gz,363237579_R1,Fluorescent Quantification,5740,0.125187672
0363237579_S174_L001_R2_001.fastp.fastq.gz,363237579_R1,Fluorescent Quantification,5740,0.125187672
0363237580_S343_L001_R1_001.fastp.fastq.gz,363237580_R1,Fluorescent Quantification,9244,0.201608858
0363237580_S343_L001_R2_001.fastp.fastq.gz,363237580_R1,Fluorescent Quantification,9244,0.201608858
0363237581_S156_L001_R1_001.fastp.fastq.gz,363237581_R1,Fluorescent Quantification,8513,0.185665968
0363237581_S156_L001_R2_001.fastp.fastq.gz,363237581_R1,Fluorescent Quantification,8513,0.185665968
0363237582_S370_L001_R1_001.fastp.fastq.gz,363237582_R1,Fluorescent Quantification,2691,0.0586899
0363237582_S370_L001_R2_001.fastp.fastq.gz,363237582_R1,Fluorescent Quantification,2691,0.0586899
0363237585_S165_L001_R1_001.fastp.fastq.gz,363237585_R1,Fluorescent Quantification,8640,0.1884358
0363237585_S165_L001_R2_001.fastp.fastq.gz,363237585_R1,Fluorescent Quantification,8640,0.1884358
0363237586_S146_L001_R1_001.fastp.fastq.gz,363237586_R1,Fluorescent Quantification,6,0.000130858
0363237586_S146_L001_R2_001.fastp.fastq.gz,363237586_R1,Fluorescent Quantification,6,0.000130858
0363237587_S173_L001_R1_001.fastp.fastq.gz,363237587_R1,Fluorescent Quantification,5651,0.123246609
0363237587_S173_L001_R2_001.fastp.fastq.gz,363237587_R1,Fluorescent Quantification,5651,0.123246609
0363237588_S119_L001_R1_001.fastp.fastq.gz,363237588_R1,Fluorescent Quantification,9765,0.212971711
0363237588_S119_L001_R2_001.fastp.fastq.gz,363237588_R1,Fluorescent Quantification,9765,0.212971711
0363237589_S167_L001_R1_001.fastp.fastq.gz,363237589_R1,Fluorescent Quantification,5027,0.109637357
0363237589_S167_L001_R2_001.fastp.fastq.gz,363237589_R1,Fluorescent Quantification,5027,0.109637357
0363237590_S131_L001_R1_001.fastp.fastq.gz,363237590_R1,Fluorescent Quantification,4198,0.091557117
0363237590_S131_L001_R2_001.fastp.fastq.gz,363237590_R1,Fluorescent Quantification,4198,0.091557117
0363237591_S371_L001_R1_001.fastp.fastq.gz,363237591_R1,Fluorescent Quantification,3032,0.066127007
0363237591_S371_L001_R2_001.fastp.fastq.gz,363237591_R1,Fluorescent Quantification,3032,0.066127007
0363237594_S372_L001_R1_001.fastp.fastq.gz,363237594_R1,Fluorescent Quantification,6058,0.132123157
0363237594_S372_L001_R2_001.fastp.fastq.gz,363237594_R1,Fluorescent Quantification,6058,0.132123157
0363237595_S106_L001_R1_001.fastp.fastq.gz,363237595_R1,Fluorescent Quantification,6097,0.132973735
0363237595_S106_L001_R2_001.fastp.fastq.gz,363237595_R1,Fluorescent Quantification,6097,0.132973735
