Category,Sample,method,total_reads,proportion
0363146725_S79_L001_R1_001.fastp.fastq.gz,363146725_R1,Fluorescent Quantification,6305,0.137510152
0363146725_S79_L001_R2_001.fastp.fastq.gz,363146725_R1,Fluorescent Quantification,6305,0.137510152
0363146814_S56_L001_R1_001.fastp.fastq.gz,363146814_R1,Fluorescent Quantification,4426,0.096529728
0363146814_S56_L001_R2_001.fastp.fastq.gz,363146814_R1,Fluorescent Quantification,4426,0.096529728
0363146831_S362_L001_R1_001.fastp.fastq.gz,363146831_R1,Fluorescent Quantification,10655,0.232382343
0363146831_S362_L001_R2_001.fastp.fastq.gz,363146831_R1,Fluorescent Quantification,10655,0.232382343
0363146839_S298_L001_R1_001.fastp.fastq.gz,363146839_R1,Fluorescent Quantification,9973,0.217508128
0363146839_S298_L001_R2_001.fastp.fastq.gz,363146839_R1,Fluorescent Quantification,9973,0.217508128
0363146847_S87_L001_R1_001.fastp.fastq.gz,363146847_R1,Fluorescent Quantification,3680,0.080259692
0363146847_S87_L001_R2_001.fastp.fastq.gz,363146847_R1,Fluorescent Quantification,3680,0.080259692
0363146860_S95_L001_R1_001.fastp.fastq.gz,363146860_R1,Fluorescent Quantification,3735,0.081459226
0363146860_S95_L001_R2_001.fastp.fastq.gz,363146860_R1,Fluorescent Quantification,3735,0.081459226
0363146865_S318_L001_R1_001.fastp.fastq.gz,363146865_R1,Fluorescent Quantification,10526,0.229568892
0363146865_S318_L001_R2_001.fastp.fastq.gz,363146865_R1,Fluorescent Quantification,10526,0.229568892
0363146867_S353_L001_R1_001.fastp.fastq.gz,363146867_R1,Fluorescent Quantification,15541,0.338944533
0363146867_S353_L001_R2_001.fastp.fastq.gz,363146867_R1,Fluorescent Quantification,15541,0.338944533
0363146883_S88_L001_R1_001.fastp.fastq.gz,363146883_R1,Fluorescent Quantification,2655,0.057904751
0363146883_S88_L001_R2_001.fastp.fastq.gz,363146883_R1,Fluorescent Quantification,2655,0.057904751
0363146921_S6_L001_R1_001.fastp.fastq.gz,363146921_R1,Fluorescent Quantification,9530,0.207846432
0363146921_S6_L001_R2_001.fastp.fastq.gz,363146921_R1,Fluorescent Quantification,9530,0.207846432
0363146926_S314_L001_R1_001.fastp.fastq.gz,363146926_R1,Fluorescent Quantification,13472,0.293820265
0363146926_S314_L001_R2_001.fastp.fastq.gz,363146926_R1,Fluorescent Quantification,13472,0.293820265
0363146928_S1_L001_R1_001.fastp.fastq.gz,363146928_R1,Fluorescent Quantification,10960,0.239034301
0363146928_S1_L001_R2_001.fastp.fastq.gz,363146928_R1,Fluorescent Quantification,10960,0.239034301
0363146929_S19_L001_R1_001.fastp.fastq.gz,363146929_R1,Fluorescent Quantification,6691,0.145928696
0363146929_S19_L001_R2_001.fastp.fastq.gz,363146929_R1,Fluorescent Quantification,6691,0.145928696
0363146934_S78_L001_R1_001.fastp.fastq.gz,363146934_R1,Fluorescent Quantification,20680,0.451024576
0363146934_S78_L001_R2_001.fastp.fastq.gz,363146934_R1,Fluorescent Quantification,20680,0.451024576
0363146935_S321_L001_R1_001.fastp.fastq.gz,363146935_R1,Fluorescent Quantification,4538,0.098972414
0363146935_S321_L001_R2_001.fastp.fastq.gz,363146935_R1,Fluorescent Quantification,4538,0.098972414
0363146936_S74_L001_R1_001.fastp.fastq.gz,363146936_R1,Fluorescent Quantification,703,0.015332218
0363146936_S74_L001_R2_001.fastp.fastq.gz,363146936_R1,Fluorescent Quantification,703,0.015332218
0363146937_S333_L001_R1_001.fastp.fastq.gz,363146937_R1,Fluorescent Quantification,4137,0.090226725
0363146937_S333_L001_R2_001.fastp.fastq.gz,363146937_R1,Fluorescent Quantification,4137,0.090226725
0363146938_S335_L001_R1_001.fastp.fastq.gz,363146938_R1,Fluorescent Quantification,12174,0.265511276
0363146938_S335_L001_R2_001.fastp.fastq.gz,363146938_R1,Fluorescent Quantification,12174,0.265511276
0363146942_S96_L001_R1_001.fastp.fastq.gz,363146942_R1,Fluorescent Quantification,3038,0.066257866
0363146942_S96_L001_R2_001.fastp.fastq.gz,363146942_R1,Fluorescent Quantification,3038,0.066257866
0363146943_S338_L001_R1_001.fastp.fastq.gz,363146943_R1,Fluorescent Quantification,4663,0.101698627
0363146943_S338_L001_R2_001.fastp.fastq.gz,363146943_R1,Fluorescent Quantification,4663,0.101698627
0363146944_S94_L001_R1_001.fastp.fastq.gz,363146944_R1,Fluorescent Quantification,2899,0.063226318
0363146944_S94_L001_R2_001.fastp.fastq.gz,363146944_R1,Fluorescent Quantification,2899,0.063226318
0363146945_S83_L001_R1_001.fastp.fastq.gz,363146945_R1,Fluorescent Quantification,6139,0.133889742
0363146945_S83_L001_R2_001.fastp.fastq.gz,363146945_R1,Fluorescent Quantification,6139,0.133889742
0363146946_S91_L001_R1_001.fastp.fastq.gz,363146946_R1,Fluorescent Quantification,5186,0.113105099
0363146946_S91_L001_R2_001.fastp.fastq.gz,363146946_R1,Fluorescent Quantification,5186,0.113105099
0363146950_S294_L001_R1_001.fastp.fastq.gz,363146950_R1,Fluorescent Quantification,2668,0.058188277
0363146950_S294_L001_R2_001.fastp.fastq.gz,363146950_R1,Fluorescent Quantification,2668,0.058188277
0363146951_S305_L001_R1_001.fastp.fastq.gz,363146951_R1,Fluorescent Quantification,5799,0.126474445
0363146951_S305_L001_R2_001.fastp.fastq.gz,363146951_R1,Fluorescent Quantification,5799,0.126474445
0363146952_S31_L001_R1_001.fastp.fastq.gz,363146952_R1,Fluorescent Quantification,5976,0.130334761
0363146952_S31_L001_R2_001.fastp.fastq.gz,363146952_R1,Fluorescent Quantification,5976,0.130334761
0363146953_S9_L001_R1_001.fastp.fastq.gz,363146953_R1,Fluorescent Quantification,4366,0.095221146
0363146953_S9_L001_R2_001.fastp.fastq.gz,363146953_R1,Fluorescent Quantification,4366,0.095221146
0363146954_S5_L001_R1_001.fastp.fastq.gz,363146954_R1,Fluorescent Quantification,9611,0.209613017
0363146954_S5_L001_R2_001.fastp.fastq.gz,363146954_R1,Fluorescent Quantification,9611,0.209613017
0363146959_S290_L001_R1_001.fastp.fastq.gz,363146959_R1,Fluorescent Quantification,11090,0.241869562
0363146959_S290_L001_R2_001.fastp.fastq.gz,363146959_R1,Fluorescent Quantification,11090,0.241869562
0363146960_S82_L001_R1_001.fastp.fastq.gz,363146960_R1,Fluorescent Quantification,6516,0.142111999
0363146960_S82_L001_R2_001.fastp.fastq.gz,363146960_R1,Fluorescent Quantification,6516,0.142111999
0363146961_S52_L001_R1_001.fastp.fastq.gz,363146961_R1,Fluorescent Quantification,9241,0.201543429
0363146961_S52_L001_R2_001.fastp.fastq.gz,363146961_R1,Fluorescent Quantification,9241,0.201543429
0363146962_S331_L001_R1_001.fastp.fastq.gz,363146962_R1,Fluorescent Quantification,4798,0.104642936
0363146962_S331_L001_R2_001.fastp.fastq.gz,363146962_R1,Fluorescent Quantification,4798,0.104642936
0363146966_S354_L001_R1_001.fastp.fastq.gz,363146966_R1,Fluorescent Quantification,23071,0.503171566
0363146966_S354_L001_R2_001.fastp.fastq.gz,363146966_R1,Fluorescent Quantification,23071,0.503171566
0363146969_S80_L001_R1_001.fastp.fastq.gz,363146969_R1,Fluorescent Quantification,7983,0.174106827
0363146969_S80_L001_R2_001.fastp.fastq.gz,363146969_R1,Fluorescent Quantification,7983,0.174106827
0363146971_S24_L001_R1_001.fastp.fastq.gz,363146971_R1,Fluorescent Quantification,3943,0.085995643
0363146971_S24_L001_R2_001.fastp.fastq.gz,363146971_R1,Fluorescent Quantification,3943,0.085995643
0363146972_S332_L001_R1_001.fastp.fastq.gz,363146972_R1,Fluorescent Quantification,10200,0.22245893
0363146972_S332_L001_R2_001.fastp.fastq.gz,363146972_R1,Fluorescent Quantification,10200,0.22245893
0363146973_S64_L001_R1_001.fastp.fastq.gz,363146973_R1,Fluorescent Quantification,5413,0.118055901
0363146973_S64_L001_R2_001.fastp.fastq.gz,363146973_R1,Fluorescent Quantification,5413,0.118055901
0363146976_S313_L001_R1_001.fastp.fastq.gz,363146976_R1,Fluorescent Quantification,6440,0.140454462
0363146976_S313_L001_R2_001.fastp.fastq.gz,363146976_R1,Fluorescent Quantification,6440,0.140454462
0363146978_S289_L001_R1_001.fastp.fastq.gz,363146978_R1,Fluorescent Quantification,2125,0.04634561
